Validation_Set,Topics,Alpha,Beta,Coherence
100% corpus_tfidf,7,0.31,0.01,0.32797743064973395
100% corpus_tfidf,7,0.31,0.31,0.32819083780304364
100% corpus_tfidf,7,0.31,0.61,0.33948278844447216
100% corpus_tfidf,7,0.31,0.9099999999999999,0.3548894162168387
100% corpus_tfidf,7,0.31,symmetric,0.3346409754176409
100% corpus_tfidf,7,0.61,0.01,0.2791457070184151
100% corpus_tfidf,7,0.61,0.31,0.32723685093711674
100% corpus_tfidf,7,0.61,0.61,0.30617774306983536
100% corpus_tfidf,7,0.61,0.9099999999999999,0.3087106767441504
100% corpus_tfidf,7,0.61,symmetric,0.2890163494096313
100% corpus_tfidf,7,0.9099999999999999,0.01,0.2646457627923574
100% corpus_tfidf,7,0.9099999999999999,0.31,0.2985370868585293
100% corpus_tfidf,7,0.9099999999999999,0.61,0.30223862647198585
100% corpus_tfidf,7,0.9099999999999999,0.9099999999999999,0.3031276378320049
100% corpus_tfidf,7,0.9099999999999999,symmetric,0.2511054337999855
100% corpus_tfidf,7,symmetric,0.01,0.32481338153454686
100% corpus_tfidf,7,symmetric,0.31,0.34297527147568785
100% corpus_tfidf,7,symmetric,0.61,0.36355908434620215
100% corpus_tfidf,7,symmetric,0.9099999999999999,0.36739704725083994
100% corpus_tfidf,7,symmetric,symmetric,0.33711317934907886
100% corpus_tfidf,7,asymmetric,0.01,0.27294477323076294
100% corpus_tfidf,7,asymmetric,0.31,0.2667893596788101
100% corpus_tfidf,7,asymmetric,0.61,0.2692802588319786
100% corpus_tfidf,7,asymmetric,0.9099999999999999,0.2690815411818859
100% corpus_tfidf,7,asymmetric,symmetric,0.25556969756069964
100% corpus_tfidf,8,0.01,0.01,0.3423507117820764
100% corpus_tfidf,8,0.01,0.31,0.35623211518104947
100% corpus_tfidf,8,0.01,0.61,0.3934726002319294
100% corpus_tfidf,8,0.01,0.9099999999999999,0.36224435089087426
100% corpus_tfidf,8,0.01,symmetric,0.3507222114040425
100% corpus_tfidf,8,0.31,0.01,0.32797743064973395
100% corpus_tfidf,8,0.31,0.31,0.32819083780304364
100% corpus_tfidf,8,0.31,0.61,0.33948278844447216
100% corpus_tfidf,8,0.31,0.9099999999999999,0.3548894162168387
100% corpus_tfidf,8,0.31,symmetric,0.3346409754176409
100% corpus_tfidf,8,0.61,0.01,0.2791457070184151
100% corpus_tfidf,8,0.61,0.31,0.32723685093711674
100% corpus_tfidf,8,0.61,0.61,0.30617774306983536
100% corpus_tfidf,8,0.61,0.9099999999999999,0.3087106767441504
100% corpus_tfidf,8,0.61,symmetric,0.2890163494096313
100% corpus_tfidf,8,0.9099999999999999,0.01,0.2646457627923574
100% corpus_tfidf,8,0.9099999999999999,0.31,0.2985370868585293
100% corpus_tfidf,8,0.9099999999999999,0.61,0.30223862647198585
100% corpus_tfidf,8,0.9099999999999999,0.9099999999999999,0.3031276378320049
100% corpus_tfidf,8,0.9099999999999999,symmetric,0.2511054337999855
100% corpus_tfidf,8,symmetric,0.01,0.32481338153454686
100% corpus_tfidf,8,symmetric,0.31,0.34297527147568785
100% corpus_tfidf,8,symmetric,0.61,0.36355908434620215
100% corpus_tfidf,8,symmetric,0.9099999999999999,0.36739704725083994
100% corpus_tfidf,8,symmetric,symmetric,0.33711317934907886
100% corpus_tfidf,8,asymmetric,0.01,0.27294477323076294
100% corpus_tfidf,8,asymmetric,0.31,0.2667893596788101
100% corpus_tfidf,8,asymmetric,0.61,0.2692802588319786
100% corpus_tfidf,8,asymmetric,0.9099999999999999,0.2690815411818859
100% corpus_tfidf,8,asymmetric,symmetric,0.25556969756069964
100% corpus_tfidf,9,0.01,0.01,0.3423507117820764
100% corpus_tfidf,9,0.01,0.31,0.35623211518104947
100% corpus_tfidf,9,0.01,0.61,0.3934726002319294
100% corpus_tfidf,9,0.01,0.9099999999999999,0.36224435089087426
100% corpus_tfidf,9,0.01,symmetric,0.3507222114040425
100% corpus_tfidf,9,0.31,0.01,0.32797743064973395
100% corpus_tfidf,9,0.31,0.31,0.32819083780304364
100% corpus_tfidf,9,0.31,0.61,0.33948278844447216
100% corpus_tfidf,9,0.31,0.9099999999999999,0.3548894162168387
100% corpus_tfidf,9,0.31,symmetric,0.3346409754176409
100% corpus_tfidf,9,0.61,0.01,0.2791457070184151
100% corpus_tfidf,9,0.61,0.31,0.32723685093711674
100% corpus_tfidf,9,0.61,0.61,0.30617774306983536
100% corpus_tfidf,9,0.61,0.9099999999999999,0.3087106767441504
100% corpus_tfidf,9,0.61,symmetric,0.2890163494096313
100% corpus_tfidf,9,0.9099999999999999,0.01,0.2646457627923574
100% corpus_tfidf,9,0.9099999999999999,0.31,0.2985370868585293
100% corpus_tfidf,9,0.9099999999999999,0.61,0.30223862647198585
100% corpus_tfidf,9,0.9099999999999999,0.9099999999999999,0.3031276378320049
100% corpus_tfidf,9,0.9099999999999999,symmetric,0.2511054337999855
100% corpus_tfidf,9,symmetric,0.01,0.32481338153454686
100% corpus_tfidf,9,symmetric,0.31,0.34297527147568785
100% corpus_tfidf,9,symmetric,0.61,0.36355908434620215
100% corpus_tfidf,9,symmetric,0.9099999999999999,0.36739704725083994
100% corpus_tfidf,9,symmetric,symmetric,0.33711317934907886
100% corpus_tfidf,9,asymmetric,0.01,0.27294477323076294
100% corpus_tfidf,9,asymmetric,0.31,0.2667893596788101
100% corpus_tfidf,9,asymmetric,0.61,0.2692802588319786
100% corpus_tfidf,9,asymmetric,0.9099999999999999,0.2690815411818859
100% corpus_tfidf,9,asymmetric,symmetric,0.25556969756069964
100% corpus_tfidf,10,0.01,0.01,0.3423507117820764
100% corpus_tfidf,10,0.01,0.31,0.35623211518104947
100% corpus_tfidf,10,0.01,0.61,0.3934726002319294
100% corpus_tfidf,10,0.01,0.9099999999999999,0.36224435089087426
100% corpus_tfidf,10,0.01,symmetric,0.3507222114040425
100% corpus_tfidf,10,0.31,0.01,0.32797743064973395
100% corpus_tfidf,10,0.31,0.31,0.32819083780304364
100% corpus_tfidf,10,0.31,0.61,0.33948278844447216
100% corpus_tfidf,10,0.31,0.9099999999999999,0.3548894162168387
100% corpus_tfidf,10,0.31,symmetric,0.3346409754176409
100% corpus_tfidf,10,0.61,0.01,0.2791457070184151
100% corpus_tfidf,10,0.61,0.31,0.32723685093711674
100% corpus_tfidf,10,0.61,0.61,0.30617774306983536
100% corpus_tfidf,10,0.61,0.9099999999999999,0.3087106767441504
100% corpus_tfidf,10,0.61,symmetric,0.2890163494096313
100% corpus_tfidf,10,0.9099999999999999,0.01,0.2646457627923574
100% corpus_tfidf,10,0.9099999999999999,0.31,0.2985370868585293
100% corpus_tfidf,10,0.9099999999999999,0.61,0.30223862647198585
100% corpus_tfidf,10,0.9099999999999999,0.9099999999999999,0.3031276378320049
100% corpus_tfidf,10,0.9099999999999999,symmetric,0.2511054337999855
100% corpus_tfidf,10,symmetric,0.01,0.32481338153454686
100% corpus_tfidf,10,symmetric,0.31,0.34297527147568785
100% corpus_tfidf,10,symmetric,0.61,0.36355908434620215
100% corpus_tfidf,10,symmetric,0.9099999999999999,0.36739704725083994
100% corpus_tfidf,10,symmetric,symmetric,0.33711317934907886
100% corpus_tfidf,10,asymmetric,0.01,0.27294477323076294
100% corpus_tfidf,10,asymmetric,0.31,0.2667893596788101
100% corpus_tfidf,10,asymmetric,0.61,0.2692802588319786
100% corpus_tfidf,10,asymmetric,0.9099999999999999,0.2690815411818859
100% corpus_tfidf,10,asymmetric,symmetric,0.25556969756069964
